0	1397	354.2
2	522.9	313.8
4	205.3	250.3
6	101.4	167.5
8	54.68	107.7
10	30.89	70.98
12	18.77	50.24
14	13.63	40.48
16	10.92	32.91
18	9.308	26.68
20	8.429	24.17
22	7.896	22.7
24	7.404	21.17
26	7.125	20.32
28	6.879	19.56
30	6.604	18.82
32	6.404	18.37
34	6.213	17.93
36	6.071	17.56
38	5.942	17.23
40	5.812	16.93
	
