0	9.091	16.01	16256
2	9.583	17.65	8808
4	12.61	21.6	4624
6	17.79	25.34	2642
8	24.99	27.81	1674
10	32.65	27.45	1160
12	40.11	24.42	877
14	44.06	20.34	755
16	44.91	18.07	709
18	44.6	16.46	685
20	44.7	14.62	661
22	44.35	13.44	645
24	43.35	12.65	637
26	42.31	12.18	631
28	41.99	11.01	617
30	40.81	10.7	615
32	39.87	10.3	610
34	38.91	10.44	608
36	37.81	10.59	608
38	37.21	9.861	599
40	36.02	10.2	601

